Time,Bandwidth
0,1.3080140731
1.7200000286,1.1398154646
2.9100000858,1.2159275198
4.2200000286,1.4657188899
5.2100000382,1.4816306306
6.0799999237,2.3716765083
6.620000124,2.4202831858
7.25,2.2442686567
8.0699999332,2.1285384615
8.9100000858,2.0819596232
9.5699999332,2.6593462214
10.1000001431,2.8145137615
10.6900000572,3.1107912525
11.4800000191,2.0365172414
12.2599999905,2.2136
12.8099999428,2.7198245614
13.5799999237,2.2036795252
14.370000124,1.8800684736
15.3299999237,1.669227907
16.0199999809,1.7521730449
16.7899999619,2.3270980966
17.4100000858,1.7336090226
18.2000000477,1.6992137733
19.0899999142,1.8129813201
20.0099999905,1.9486213592
21.0699999332,1.4607440904
21.7400000095,2.4859753954
22.1500000954,2.7202236025
22.8099999428,2.8520842105
23.5699999332,2.3751553545
24.2200000286,2.3116135957
24.8399999142,2.2891471698
25.8900001049,1.5210083333
26.4400000572,2.9922770563
27.1600000858,2.701686901
27.8800001144,2.1735443038
28.8199999332,1.6043755869
30.4400000572,0.9420447958
32.0099999905,0.9522985075
33.0299999714,1.5785582888
33.75,1.9729329074
34.5599999428,2.2925555556
35.3299999237,2.0813017752
36.1700000763,1.9187006711
36.9500000477,2.0123710145
37.6100001335,2.4538723404
38.4100000858,2.1349070423
39.2100000381,1.9463323944
39.9700000286,1.9397444279
40.7100000381,2.2282633997
41.5699999332,1.9672496698
42.2599999905,2.1831362126
42.9100000858,2.4707504488
43.6100001335,2.2432544571
44.2799999714,2.2489688581
45.0799999237,2.3126762178
45.7100000381,2.6298289963
46.3299999237,2.081199241
46.6600000858,1.8693442623
47.7699999809,1.8405815324
48.5599999428,2.0057441861
49.3500001431,2.1014814815
49.6700000763,2.1827665198
49.9300000668,2.1499627329
50.4200000763,1.6356892231
52.5199999809,1.8294834437
53.6300001144,1.721468106
55,0.8388
56.1500000954,1.5474555766
57.9900000095,0.7539759312
59.3800001144,1.4344223603
60.1500000954,1.5947055394
61.1100001335,1.3874602076
62.6500000954,1.0889501054
64.4600000381,0.9025064177
65.7899999619,1.212474359
66.7000000477,1.5131048089
68.3399999142,1.0101536475
69.1500000954,1.9824
70.5499999523,1.1641646342
71.2200000286,2.1720490368
72.0199999809,2.1097727273
72.75,2.0464720497
73.6400001049,1.8034371859
74.3199999332,1.7788108108
75.2999999523,1.7858516854
75.9200000763,1.7634416826
76.6500000954,1.8621886793
77.6600000858,1.5928052516
78.7400000095,1.6235227503
79.7400000095,1.5567404162
81.3600001335,0.9263392272
82.3600001335,0.9593778751
84.5899999142,0.7980795287
85.7100000381,1.5423388835
87.4200000763,0.8001188854
88.5199999809,1.2012356436
90.0299999714,1.0355801418
90.6500000954,2.6132930057
91.4100000858,2.5356161919
92.0499999523,2.4930671506
92.7400000095,2.2858327759
93.3500001431,2.7447677543
