Time,Bandwidth
0,0.695912455
4.370000124,0.7287810553
5.9600000382,0.9987572093
7.8900001049,0.8931849427
9.3300001621,0.9731420118
11.5900001526,0.853365358
12.7100000381,1.0672858537
14.0900001526,0.9397875
15.8500001431,0.9267799043
17.4800000191,1.0097232376
19.0399999619,1.0392637363
20.4700000286,0.918508982
22.2400000095,0.9352827256
23.6300001144,1.0945297297
25.1700000763,1.0555521769
26.5399999619,0.9765669291
28.2899999619,0.894746988
30.1000001431,0.7711691047
32.2200000286,0.7068124077
34.3500001431,0.5205417696
36.1600000858,0.9273092182
37.3300001621,0.8619439252
38.4800000191,1.1173132076
40.120000124,0.9496568819
41.7599999905,1.0352443585
43.5900001526,0.8215630058
45.370000124,0.8384825133
46.5599999428,0.802852429
48.1800000668,1.0759020516
49.9900000095,0.919817757
52.0099999905,0.6747738903
54.2200000286,0.5736397163
56.4600000381,0.6797802607
58.4800000191,0.7200166667
61.5800001621,0.5615059761
64.0699999332,0.5738011696
66.1400001049,0.695283825
68.3600001335,0.6739038643
70.4300000668,0.7067915408
71.75,1.2078166939
72.9500000477,1.1207404719
74.6300001144,1.0420707071
76.0800001621,1.0437388724
77.5699999332,1.0181139601
79.6400001049,0.7034123607
81.6900000572,0.7071967297
83.5099999905,0.880757699
84.8800001144,1.0754054475
86.1000001431,1.1666201966
87.8300001621,0.8872292683
90.6100001335,0.5554673629
92.2300000191,0.8618019672
93.5,1.1682580645
94.6900000572,1.2651627057
96.2999999523,0.8535154301
97.9100000858,1.0648073879
99.3099999428,1.0883446154
100.25,1.2827976608
100.700000048,1.3106896552
102.180000067,1.3567791456
103.539999962,1.0891491713
105.230000019,0.9237570445
105.870000124,0.896
106.5,0.6708217054
107.569999933,0.6686885246
113.960000038,0.4720911421
117.700000048,0.4825793673
119.710000038,0.5633074502
121.970000029,0.763979468
123.49000001,0.9271937985
126.430000067,0.6526089721
128.120000124,0.6875977373
130.430000067,0.5455455782
132.830000162,0.6754908457
134.690000057,0.8789181818
137.690000057,0.5225027624
140.230000019,0.5037471264
141.920000076,0.9853450882
143.75999999,0.8178972879
145.49000001,0.9364708768
147.059999943,0.8391339648
150.100000143,0.5057133129
152.830000162,0.5007325228
155.600000143,0.5370505051
157.5,0.5866607242
160.559999943,0.5362375169
162.210000038,0.5992722547
164.799999952,0.4745
167.470000029,0.5662481525
170.319999933,0.5847283321
173.090000153,0.5309316399
176.25999999,0.4600065041
178.090000153,0.5104382284
180.970000029,0.6056959762
183.50999999,0.6440605317
185.529999971,0.6733673788
187.420000076,0.6770357143
190.600000143,0.4731587816
193.029999971,0.5933184549
196.00999999,0.5903162304
197.440000057,1.0282035928
198.840000153,1.0442536287
200.450000048,0.9426657877
202.440000057,0.7387831579
204.360000134,0.8105172982
206.590000153,0.5798384977
210.75,0.4058618146
215.340000153,0.3139834858
217.559999943,0.6742603774
219.039999962,1.0120524781
220.670000076,0.9069357798
222.330000162,0.9666989796
223.860000134,0.9717974684
225.789999962,0.7106412629
228.450000048,0.5701630094
231.440000057,0.5128126722
232.630000114,1.200226484
234.150000095,0.9684785362
235.630000114,1.0015108538
237.620000124,0.6888733439
239.74000001,0.7955879744
241.279999971,0.9880223464
242.539999962,0.94064494
243.340000153,0.6379300699
245.680000067,0.8368521661
247.350000143,0.8756040609
250.430000067,0.4965466173
251.25999999,0.6695783784
251.950000048,0.5788361204
253.640000105,0.4135868188
257.980000019,0.9642303665
259.289999962,1.4425789474
260.569999933,0.9022386555
262.410000086,0.9452702079
263.580000162,1.2307652011
265.080000162,1.307527247
266.220000029,1.0590203291
267.319999933,1.1921982161
268.850000143,1.0813510119
269.860000134,1.6980197585
271.24000001,1.1766469673
273.220000029,0.6516877323
275.720000029,0.6549719548
277.580000162,0.8035238095
280.950000048,0.4659499695
283.730000019,0.465380863
288.150000095,0.3442929995
292.519999981,0.3087205435
296.059999943,0.4165803831
297.640000105,0.7163646259
299.160000086,1.1130308123
300.029999971,1.1946632124
301.370000124,0.9505232745
302.880000114,1.0273987297
304.200000048,1.3226227348
305.670000076,1.0321742919
307.180000067,0.9996607774
308.660000086,0.6324274368
311.049999952,0.7080522648
154.180000067,1.5794663992
155.50999999,1.0404122383
157.110000134,0.808832
158.769999981,0.9372066752
160.039999962,1.1765378723
162.069999933,0.8735826446
163.75999999,0.8580137414
165.24000001,0.9890940666
167.370000124,0.7054879132
169.720000029,0.6241387283
172.309999943,0.5920385078
174.080000162,0.7377873357
176,0.901989071
177.670000076,0.8972959184
179.180000067,1.0109137199
180.960000038,0.8279880739
183.029999971,0.7007513924
185.470000029,0.6511099656
187.130000114,0.8852632928
188.789999962,0.8352194498
189.860000134,1.4908360656
190.900000095,1.591034188
191.769999981,1.6827759283
192.880000114,1.3532035398
193.900000095,1.4963113514
194.950000048,1.3597322176
196.180000067,1.4184956063
197.380000114,1.2792477396
198.190000057,1.5275654596
198.559999943,1.6646715329
200.130000114,1.2677347767
201.470000029,1.1048454764
203.75999999,0.6733181196
204.410000086,0.8863828265
204.940000057,0.7939082569
205.860000134,0.786313253
208.920000076,1.1384010989
210.620000124,1.0888739913
211.799999952,0.9978289963
213.610000134,0.9507595819
215.110000134,0.9451781609
216.819999933,1.1446939281
217.799999952,1.2431454546
219.059999943,1.0370068966
220.390000105,1.2486510878
221.799999952,1.1718909091
222.930000067,1.4690951456
223.809999943,1.5416180905
225.049999952,1.3630034843
226.330000162,1.2032393888
227.75999999,1.143251497
228.930000067,1.1494346617
229.789999962,1.9164903226
230.920000076,1.2696801541
232.130000114,1.2979529837
233.100000143,1.1980159272
234.440000057,1.2807477841
235.230000019,1.3232137733
236.25,1.2734967742
237.5,1.2561035375
238.50999999,1.7722560706
239.330000162,1.9740333333
240.220000029,1.7615442092
240.730000019,2.0954832536
242.00999999,1.3730472973
243.190000057,1.452701107
244.319999933,1.2377318008
245.200000048,1.5614517375
246.279999971,1.4869327902
247.170000076,1.7367236181
248.150000095,1.9088668172
249.059999943,1.6752195122
250.400000095,1.1855403296
251.470000029,1.4636888434
252.539999962,1.4279633774
253.75999999,1.3073091231
255.370000124,0.8157569353
257,1.0732379714
259.289999962,0.6395272727
261.470000029,0.6878883542
263.580000162,0.6890997519
265.370000124,0.8203817427
266.769999981,1.1588562691
267.900000095,1.337750242
268.779999971,1.6524658228
269.650000095,1.870251928
270.5,1.9750769231
271.299999952,1.8458539326
272.650000095,1.1036150762
275.190000057,0.5663207856
277.029999971,0.7483615429
278.380000114,1.2862533865
279.450000048,1.4393163784
280.190000057,1.7057418352
280.569999933,1.5567235495
281.830000162,1.6097182131
282.809999943,1.5557519729
283.980000019,1.3748741845
284.410000086,1.4530439883
284.840000153,1.0553170732
285.519999981,1.1042978003
288.200000048,1.2443783784
289.710000038,1.2405770863
290.840000153,1.0363552124
292.440000057,1.0835261416
293.920000076,0.9527067343
