Time ,Bandwidth
0,1.9449142857
1.2599999905,1.625742354
2.25,1.1982857143
4.3199999332,0.8391635059
5.2399997711,2.095044586
6.2599999905,2.1358797688
6.7999999523,2.3781913044
7.4199998379,2.2956641221
7.9899997711,3.2148879668
8.5099999905,3.5974325581
9.129999876,2.8658484849
9.6699998379,2.7514080718
10.3399999142,2.6978068966
10.9399998188,2.7522640777
11.5799999237,2.7871970803
12.1699998379,2.5208130081
12.8299999237,2.6011908932
13.379999876,2.8775720524
13.9499998093,2.9537777778
14.379999876,3.0972235294
15.0699999332,2.6712739496
15.5299999714,2.4594133333
16,3.158272
16.5199999809,3.4174272301
17.0799999237,3.3946384778
17.5999999046,3.4084028777
18.1799998283,2.8808961304
18.5699999332,2.8624575163
19.4099998474,2.167584
20.1999998093,2.2560573066
20.8399999142,2.35371949
21.4499998093,2.351255814
22.0799999237,2.7343970038
22.629999876,3.0383120879
23.3199999332,2.8047363184
23.9199998379,2.68296875
24.5799999237,2.4322562278
25.3199999332,2.1899295559
26.0099999905,2.3473043478
26.6399998665,2.7639550562
27.2999999523,2.1743943662
28.0999999046,2.3380169972
28.6999998093,2.7426120858
29.3399999142,2.6037012751
29.9699997902,2.5431062271
30.6199998856,2.5117676951
31.3699998856,2.3036231003
32.0599999428,2.2917014925
32.7099997997,2.3778652095
33.4799997807,2.1335131965
34.3199999332,2.0016236559
35.0899999142,1.9499228487
35.8599998951,2.0328035451
36.6199998856,2.0444431315
37.2999999523,2.2220581197
38.0799999237,2.3428853411
38.7399997711,2.4865518453
39.3099999428,2.2993542977
39.5999999046,2.2692537313
40.5999999046,2.0795915649
41.3599998951,2.0535
42.1599998474,2.0603910615
42.4899997711,2.0731715481
42.7599999905,2.0361411765
43.1799998283,2.0019631902
45.1399998665,1.9184166667
46.0399999619,2.1818109453
46.5899999142,2.3340521739
47.4199998379,2.2124432432
48.1099998951,2.2075302013
48.9199998379,2.5695910988
49.3899998665,2.848875
49.9099998474,2.8304188235
50.7699999809,2.0203076923
51.5399999619,2.2883076923
52.2699999809,2.3680250391
52.879999876,2.3644084778
53.879999876,1.7213729373
54.6599998474,2.0813744493
55.4299998283,2.2362869693
56.0499999523,2.3623619048
56.7399997711,2.4795993322
57.3999998569,2.3576529517
58.129999876,2.2153333333
58.6899998188,2.2744190065
59.4899997711,2.2417602257
59.9899997711,2.2385436893
60.5899999142,2.3639760479
61.3599998951,2.1599762611
62.3299999237,1.8204807256
63.1199998856,2.0391736012
63.9899997711,1.7996437659
64.5299999714,1.977227991
65.5299999714,1.9777226277
66.4099998474,2.0188820513
67.1999998093,1.8592690648
67.8699998856,2.0882065405
68.6199998856,2.2056918429
69.3199999332,2.2551908646
70.2099997997,2.1327313998
70.9099998474,2.2482487725
71.629999876,2.1905897436
72.3899998665,2.1216973294
73.2099997997,1.9387955801
73.9599997997,2.2228192771
74.6399998665,2.09686927
