Time,Bandwidth
0,0.7698212058
1.5599999428,0.7900397351
4.2999999523,0.6196850871
7.8699998856,0.3793794694
12.1099998951,0.4468043531
15.0599999428,0.383444795
18.7200000286,0.3386621622
20.9800000191,0.7207330233
23.75,0.5804487805
26.4200000763,0.5896991426
28.9200000763,0.5121569282
32.5099999905,0.4487318612
35.6399998665,0.4677940594
37.9500000477,0.6933200182
40.0099999905,0.6318084564
42.4600000381,0.632572402
44.2999999523,0.7569948306
46.2200000286,0.7883228995
47.6499998569,0.7953595166
49.8299999237,0.7597552581
51.3299999237,0.657362794
52.9700000286,0.7645913493
55.0999999046,0.7157443461
57.3299999237,0.7524198688
59.4300000668,0.7064135189
61.7100000381,0.6485648785
63.379999876,0.5568417038
66.0599999428,0.6291362229
68.4200000763,0.6927971843
69.9600000381,0.8973555556
71.3699998856,0.9240274181
72.8699998856,1.0341133145
74.3699998856,0.9895719399
76.1800000668,0.9896173201
77.4900000095,1.1306008231
79.5799999237,0.6831224388
82.0599999428,0.6018619529
84.3699998856,0.6365931973
86.7899999619,0.6375602592
88.629999876,0.7073631157
90.3599998951,1.0095657492
91.7999999523,1.0539026217
93.2799999714,1.0328265896
94.9700000286,0.8732930818
97.2000000477,0.645213986
99.7599999905,0.6186873469
102.200000048,0.5887925011
104.579999924,0.5735711775
108.149999857,0.4187211511
111.649999857,0.437616221
112.859999895,1.1786977579
114.049999952,1.2660607176
115.720000029,0.8771153359
117.309999943,0.8706657736
119.319999933,0.8455987428
121.940000057,0.5607800238
124.420000076,0.4651365564
126.170000076,0.278801956
131.210000038,0.3785276768
134.379999876,0.467780339
138.200000048,0.3983904942
140.109999895,0.2723958219
140.879999876,0.5189565217
141.930000067,0.6877133825
145.789999962,0.8597053942
147.690000057,0.9750839355
148.920000076,0.9385174825
150.369999886,1.2091639586
151.700000048,1.0705353946
153.470000029,1.1030065672
154.460000038,1.2223106145
155.629999876,1.1200446927
157.5,0.8754666667
159.649999857,0.7520155566
164.599999905,0.3134150787
167.889999866,0.4138711636
171.539999962,0.4417639752
175.649999857,0.3555094056
180.289999962,0.3371708609
182.529999971,0.5819990615
184.460000038,0.8134063527
185.779999971,1.0749820555
187.430000067,0.9267501614
189.160000086,0.6432840562
191.420000076,0.7402925012
192.619999886,0.8384363636
194,0.9152642968
195.519999981,1.0237862166
197.230000019,0.9923757726
198.720000029,1.0217857656
200.279999971,0.9622585034
201.329999924,0.9181467505
204.149999857,0.5976794118
206.329999924,0.758539499
208.129999876,0.7587739284
209.75,0.795572459
211.329999924,0.9859338285
213.079999924,0.8327903614
215.029999971,0.9156773146
216.460000038,1.0343975904
217.809999943,1.0891856574
219.160000086,1.1440192
220.559999943,1.0772739831
222.279999971,0.9110814815
223.660000086,0.9603856921
225.549999952,0.9211160714
227.289999962,0.8568574909
228.819999933,0.9940417246
230.289999962,1.0120524781
231.899999857,0.9171530815
233.410000086,1.0652030921
234.670000076,1.1892392427
235.940000057,1.1110195745
237.389999866,1.0667565982
239.609999895,0.7044503311
241.5,0.7309499444
244.379999876,0.4966466979
247.970000029,0.3992177675
250.039999962,0.6608561261
253.049999952,0.5532035641
254.649999857,0.9470200803
255.829999924,1.0043882784
256.410000086,0.9404536082
259.869999886,0.5568237741
262.200000048,0.6196461608
264.379999876,0.70925
265.230000019,0.6562754967
265.799999952,0.7271932773
266.869999886,0.6721318229
271.079999924,0.7483124154
273.519999981,0.7515749786
275.329999924,0.6278736842
278.450000048,0.5433813475
280.470000029,0.6917392219
283,0.7565667486
284.899999857,0.60843604
287.039999962,0.591992126
289.809999943,0.5792807477
292.450000048,0.6078176817
294.329999924,0.850094382
295.069999933,1.8878892308
296.769999981,0.9767340824
297.910000086,1.3576781609
298.950000048,1.6248765957
299.869999886,1.4924669073
301.339999914,1.0825655977
302.369999886,1.4140858369
303.49000001,1.3950787172
305.74000001,0.4900214053
