Time,bandwidth
0,1.2619091384
2.1800000668,0.9601401204
3.3099999428,1.1695686275
4.7699999809,1.1994197802
5.6800000668,1.6303444858
6.9600000382,1.5551649832
7.7599999905,1.5473380481
8.5399999619,1.7560992701
9.4900000095,1.7872848904
10.5399999619,1.6248907563
11.6600000858,1.4634119923
12.6199998856,1.4219327926
13.8399999142,1.3970785714
14.8699998856,1.5015
15.8900001049,1.6602
17.1300001144,1.0728719723
18.3900001049,1.2694700855
19.4000000954,1.437217012
20.6300001144,1.2647894273
21.4300000668,1.4666518106
22.6300001144,1.4331902615
23.3800001144,1.4188923077
24.1700000763,1.6871111111
25.2400000095,1.4962219938
26.3099999428,1.6519176955
27.0899999142,2.0509437229
28.1099998951,1.5193555317
29,1.1017761006
30.2200000286,1.446341637
31.2799999714,1.626785124
32.0299999714,1.9490075415
32.7599999905,1.9046279435
33.7400000095,1.6443333333
34.6600000858,1.6838392205
35.5299999714,2.1572142857
36.1400001049,2.6570212766
36.8800001144,2.135825
37.7300000191,1.876671916
38.75,1.5240912052
39.7300000191,1.6658600452
40.4100000858,2.0687705193
41.1800000668,2.4490207715
41.9700000286,1.9985227273
42.8099999428,1.9316648649
43.5799999237,2.0211586608
44.2999999523,2.2214831461
45.0799999237,2.1809841727
45.8399999142,2.071808096
46.5499999523,2.1055612903
47.2899999619,2.2385476923
47.9600000381,2.5500136986
48.6300001144,2.2976363636
49.4000000954,2.0090627737
50.1199998856,2.207476874
50.8900001049,1.897670073
51.7799999714,2.0356216898
52.4900000095,2.2783381643
53.1400001049,1.9620608229
53.4600000381,1.9327118644
54.5699999332,1.8514940712
55.1300001144,2.8929811321
55.8299999237,2.4384132231
56.1400001049,2.212
56.3900001049,2.1634
56.7799999714,2.2350684932
58.3800001144,3.0694666667
59.2100000381,2.3866340136
59.7799999714,2.2368
60.6400001049,2.1485669291
61.3099999428,2.2802218371
62.2799999714,2.106654504
62.8299999237,2.373032538
63.4100000858,2.4905341615
64.4900000095,1.5668109201
65.5999999046,1.5300652819
66.6199998856,1.6218306538
67.3399999142,1.9697078652
68.2899999619,1.8236923077
69.1800000668,1.7739874844
70.1300001144,1.7780954598
71.0199999809,1.5541854637
72.2200000286,1.3429294756
73.4800000191,1.1361448276
74.5099999905,1.5336923077
75.2699999809,1.5931255673
76.3099999428,1.6765907173
76.9500000477,1.6587769784
77.7599999905,1.6426518724
78.5999999046,1.9726612466
79.5099999905,1.9486213592
80.4200000763,1.7354139194
81.5599999428,1.3549042146
82.9200000763,0.694066561
84.0599999428,1.7058635887
84.8599998951,2.2273380481
85.6500000954,1.8303002833
86.3299999237,2.0739282051
87.1600000858,1.9732
87.9500000477,1.9891107914
88.75,2.3854104372
89.6300001144,1.7476844784
91.6300001144,0.7194357895
93.4400000572,0.83431972
94.2400000095,1.9798138223
94.9700000286,2.3170361068
95.7699999809,1.7468967468
97.0999999046,1.3343896524
98.2000000477,1.3902766798
99.2699999809,1.4586040816
100.180000067,1.7079163592
101.049999952,1.7698005115
101.819999933,2.2623641791
102.75999999,1.6124807468
103.680000067,1.5900706456
104.589999914,1.7831568628
105.640000105,1.557748954
106.519999981,1.6699466328
107.339999914,1.8775006821
108.160000086,1.898611797
109.089999914,1.5605090036
110.140000105,1.683261731
111.420000076,1.193964557
112.309999943,1.3813501259
112.630000114,2.0093392071
113.730000019,1.8588412698
114.650000095,1.668623942
115.779999971,1.4267311412
116.210000038,1.4924337349
116.49000001,1.8028333333
116.950000048,1.8179387187
119.220000029,1.6982704918
120.369999886,1.6658841406
121.230000019,1.4016501306
122.200000048,1.8668278221
122.920000076,2.0817848101
123.880000114,2.1334133949
124.440000057,2.2982521008
125.029999971,2.4449756098
125.680000067,2.7426123894
126.319999933,2.8176612022
126.950000048,2.8125799257
127.440000057,3.0525572139
128,3.3363070363
128.640000105,2.596
129.369999886,2.3754027994
129.930000067,2.6729310345
130.619999886,2.4920805369
131.269999981,2.4005974499
131.930000067,2.5229103691
132.450000048,2.432
133.230000019,2.3001562952
133.720000029,2.334886076
134.329999924,2.2997126214
135.210000038,1.8381616162
136.049999952,2.1408853333
136.670000076,2.7228045977
137.220000029,3.0485344828
137.569999933,3.489689243
138.109999895,3.5495371179
138.720000029,3.040015444
139.25999999,2.8715377778
140.059999943,1.704
141.049999952,1.6332975392
142,1.605612079
142.950000048,1.9967603306
143.74000001,1.95125
144.630000114,1.7172462312
145.480000019,1.8865751979
146.309999943,1.8866774194
147.430000067,1.451280236
148.069999933,2.2414809437
148.859999895,2.3614306152
149.519999981,2.4770422535
150.119999886,2.8138425197
150.720000029,2.755031746
151.309999943,2.7405623762
152.099999905,2.1685035765
152.789999962,2.3264242424
153.390000105,2.5799367589
154.029999971,2.6407549909
154.720000029,2.5198104907
155.380000114,2.289630662
156.309999943,1.6363947681
157.690000057,1.0830109546
158.829999924,1.2344767331
161.619999886,0.6014336811
162.190000057,2.9537536534
162.710000038,2.5685995316
163.200000048,1.1374563591
164.960000038,1.2034116892
166.130000114,1.2848715084
167.220000029,1.4737662338
167.599999905,1.7085793103
167.849999905,2.2476883117
168.230000019,2.2740069686
170.190000057,1.8899794755
171.160000086,2.0070663616
171.779999971,2.037313093
173.279999971,1.1711072961
174.200000048,1.5756742515
175.74000001,1.2812316228
176.710000038,1.2531134021
177.859999895,1.1348377359
179.210000038,1.2396608
180.720000029,1.1002105263
182.700000048,0.8070229333
183.950000048,1.0689268293
186.769999981,0.5756909492
189.029999971,0.6528862275
190.900000095,0.8604980282
191.900000095,1.3704309392
193.079999924,1.3651470588
194.380000114,1.091
196.170000076,0.8439365079
197.619999886,0.7858626866
199.529999971,0.8742618262
200.940000057,0.6992266869
204.140000105,0.3857824104
206.589999914,0.6163522439
209.269999981,0.6264783457
211.119999886,0.8093986333
213.74000001,0.5613174603
215.619999886,0.4907070028
218.180000067,0.6589736522
220.569999933,0.6900648554
222.440000057,0.7263586284
224.450000048,0.6378801262
227.609999895,0.4764006525
229.200000048,0.9234682699
230.980000019,1.0013357016
232.849999905,0.775214447
234.690000057,0.7819954233
236.180000067,1.0362492754
238.039999962,0.7912559188
239.390000105,1.1751210191
240.670000076,1.0457713802
242.25999999,1.103368984
243.660000086,1.0773047473
245.140000105,1.0373236575
246.25999999,1.3586457926
247.720000029,1.0131654466
250.690000057,0.5287003837
254.130000114,0.4164846293
255.789999962,0.830437659
258.329999924,0.5958460278
261.839999914,0.4373591777
263.410000086,0.8886058147
264.720000029,1.1392450331
266.160000086,1.029827381
267.190000057,1.3917601713
268.519999981,1.3028635997
269.650000095,1.373638835
270.690000057,1.1593995772
271.140000105,1.2496438356
272.849999905,1.1558988279
274.299999952,1.0184147602
276.529999971,0.6909789227
277.309999943,0.7108866571
277.880000114,0.7318054968
278.609999895,1.040893142
284.970000029,1.0079482795
287.069999933,0.9169764767
288.470000029,0.8252605688
291.059999943,0.6583063932
291.99000001,1.5909165659
293.410000086,1.3996484849
